1080 ,Under Construction,Possession by Apr 2023,"4,900 ",52.92 L,"Bhiwandi, Mumbai",2 BHK Apartment in Dev Drashti Empire Phase 1
311 ,Under Construction,Possession by Dec 2023,"5,035 ",15.61 L,"Titwala, Mumbai",1 BHK Apartment in Shankheshwar Crystal Phase 2
395 ,Under Construction,Possession by Nov 2021,"5,569 ",22 L,"Badlapur East, Mumbai",1 BHK Apartment in Shivshakti Greens
288 ,Under Construction,Possession by Mar 2023,"5,729 ",16.5 L,"Vangani, Mumbai",1 BHK Apartment in Maruti Shiv Utsav
 , ,, ,  ,,
444 ,Under Construction,Possession by Nov 2022,"6,984 ",31 L,"Vasai, Mumbai",1 BHK Apartment in Dange Dange Crown A Wing
1085 ,Under Construction,Possession by Apr 2022,"25,738 ",2.78 Cr,"Chembur, Mumbai",3 BHK Apartment in Godrej Prime
675 ,Under Construction,Possession by Dec 2023,"25,222 ",1.69 Cr,"Mulund West, Mumbai",2 BHK Apartment in GHP Vaishakh
957 ,Under Construction,Possession by Nov 2020,"3,971 ",38 L,"Shil Phata, Mumbai",2 BHK Apartment in Kanak Mukta Lake City
675 ,Under Construction,Possession by Nov 2020,"4,696 ",31.7 L,"Ambernath East, Mumbai",1 BHK Apartment in Jhalak Luxuria
570 ,Under Construction,Possession by Aug 2022,"7,324 ",41.75 L,"Naigaon East, Mumbai",2 BHK Apartment in Sunteck West World
631 ,Ready to move,0 - 1 year old,"45,000 ",2.83 Cr,"Dadar East, Mumbai",2 BHK Apartment in Rishiraj Builders LLP Pearl Aurelia
564 ,Under Construction,Possession by Nov 2023,"24,290 ",1.37 Cr,"Borivali West, Mumbai",2 BHK Apartment in CH Saikrupa CHSL
411 ,Under Construction,Possession by Nov 2023,"5,323 ",21.88 L,"Neral, Mumbai",1 BHK Apartment in Space World Building No 1 D Wing
921 ,Ready to move,4 - 5 years old,"7,709 ",71 L,"Kamothe, Mumbai",2 BHK Apartment in Vub Veermaa Paradise
830 ,Ready to move,3 - 4 years old,"25,301 ",2.1 Cr,"Santacruz East, Mumbai",1 BHK Apartment in Sumit Sumit Artista
570 ,Ready to move,0 - 1 year old,"11,754 ",67 L,"kasaradavali thane west, Mumbai",1 BHK Apartment
726 ,Ready to move,New ,"45,000 ",3.26 Cr,"Dadar East, Mumbai",2 BHK Apartment in Rishiraj Pearl Crest
503 ,Under Construction,Possession by Dec 2024,"20,119 ",1.01 Cr,"Bhandup West, Mumbai",2 BHK Apartment in Aakaar Wishvas
655 ,Under Construction,Possession by Sep 2024,"19,389 ",1.26 Cr,"Thane West, Mumbai",2 BHK Apartment in Godrej Exquisite
473 ,Under Construction,Possession by Oct 2021,"9,090 ",43 L,"Thane West, Mumbai",1 BHK Apartment in Lodha Majiwada Tower 5
1520 ,Under Construction,Possession by Dec 2025,"24,868 ",3.77 Cr,"Kandivali East, Mumbai",4 BHK Apartment in Kalpataru Vienta
