area,construction_status,per_sqr_ft,price,property_location,title,years
530 ,Under Construction,"8,162 ",43.26 L,"Panvel, Mumbai",2 BHK Apartment in Space Anant Sapphire,Possession by Nov 2021
458 ,Under Construction,"8,208 ",37.59 L,"Panvel, Mumbai",1 BHK Apartment in Space Anant Sapphire,Possession by Nov 2021
400 ,Under Construction,"8,175 ",32.7 L,"Panvel, Mumbai",1 BHK Apartment in Space Anant Sapphire,Possession by Nov 2021
449 ,Under Construction,"8,201 ",36.82 L,"Panvel, Mumbai",1 BHK Apartment in Space Anant Sapphire,Possession by Nov 2021
421 ,Under Construction,"8,195 ",34.5 L,"Panvel, Mumbai",1 BHK Apartment in Space Anant Sapphire,Possession by Nov 2021
500 ,Ready to move,"4,700 ",23.5 L,"Naigaon East, Mumbai",1 BHK Apartment in Unicorn Arena ,1 - 2 years old
800 ,Ready to move,"13,125 ",1.05 Cr,"Thane West, Mumbai",2 BHK Apartment,2 Bathrooms
639 ,Under Construction,"9,537 ",60.94 L,"Panvel, Mumbai",2 BHK Apartment in Wadhwa Wise City,Possession by Nov 2025
435 ,Under Construction,"9,241 ",40.19 L,"Panvel, Mumbai",1 BHK Apartment in Wadhwa Wise City,Possession by Nov 2025
389 ,Under Construction,"10,026 ",39 L,"Panvel, Mumbai",1 BHK Apartment in Wadhwa Wise City,Possession by Nov 2025
 , , ,  ,,,
1650 ,Under Construction,"8,750 ",1.44 Cr,"Kharghar, Mumbai",3 BHK Apartment in Paradise Sai Aaradhya,Possession by Nov 2023
378 ,Under Construction,"5,937 ",22.44 L,"Taloja, Mumbai",1 BHK Apartment in Shreemangal Naman Residency,Possession by Nov 2023
470 ,Under Construction,"5,930 ",27.87 L,"Taloja, Mumbai",2 BHK Apartment in Shreemangal Naman Residency,Possession by Nov 2023
335 ,Under Construction,"5,941 ",19.9 L,"Taloja, Mumbai",1 BHK Apartment in Shreemangal Naman Residency,Possession by Nov 2023
494 ,Under Construction,"5,930 ",29.29 L,"Taloja, Mumbai",2 BHK Apartment in Shreemangal Naman Residency,Possession by Nov 2023
402 ,Under Construction,"5,928 ",23.83 L,"Taloja, Mumbai",1 BHK Apartment in Shreemangal Naman Residency,Possession by Nov 2023
369 ,Under Construction,"5,936 ",21.9 L,"Taloja, Mumbai",1 BHK Apartment in Shreemangal Naman Residency,Possession by Nov 2023
208 ,Under Construction,"5,941 ",12.35 L,"Taloja, Mumbai",1 BHK Apartment in Shreemangal Naman Residency,Possession by Nov 2023
391 ,Under Construction,"5,937 ",23.21 L,"Taloja, Mumbai",1 BHK Apartment in Shreemangal Naman Residency,Possession by Nov 2023
245 ,Under Construction,"5,924 ",14.51 L,"Taloja, Mumbai",1 BHK Apartment in Shreemangal Naman Residency,Possession by Nov 2023
653 ,Ready to move,"4,287 ",28 L,"Naigaon East, Mumbai",1 BHK Apartment in Supreme Construction mumbai Supreme Emperor,2 - 3 years old
755 ,Under Construction,"4,768 ",36 L,"Naigaon East, Mumbai",2 BHK Apartment in JSB Nakshatra Greens Phase II,2 Bathrooms
580 ,Under Construction,"4,655 ",27 L,"Naigaon East, Mumbai",1 BHK Apartment in Supreme Construction mumbai Supreme Emperor,1 Bathrooms
654 ,Ready to move,"13,192 ",86.28 L,"Panvel, Mumbai",2 BHK Apartment in Vishesh Balaji Symphony,0 - 1 year old
686 ,Ready to move,"13,362 ",91.67 L,"Panvel, Mumbai",2 BHK Apartment in Vishesh Balaji Symphony,0 - 1 year old
732 ,Ready to move,"13,312 ",97.45 L,"Panvel, Mumbai",2 BHK Apartment in Vishesh Balaji Symphony,0 - 1 year old
762 ,Ready to move,"13,123 ",1 Cr,"Panvel, Mumbai",2 BHK Apartment in Vishesh Balaji Symphony,0 - 1 year old
608 ,Ready to move,"13,486 ",82 L,"Panvel, Mumbai",2 BHK Apartment in Vishesh Balaji Symphony,0 - 1 year old
837 ,Ready to move,"13,142 ",1.1 Cr,"Panvel, Mumbai",2 BHK Apartment in Vishesh Balaji Symphony,0 - 1 year old
682 ,Ready to move,"13,215 ",90.13 L,"Panvel, Mumbai",2 BHK Apartment in Vishesh Balaji Symphony,0 - 1 year old
 , , ,  ,,,
931 ,Ready to move,"12,889 ",1.2 Cr,"Panvel, Mumbai",3 BHK Apartment in Vishesh Balaji Symphony,0 - 1 year old
816 ,Ready to move,"13,235 ",1.08 Cr,"Panvel, Mumbai",3 BHK Apartment in Vishesh Balaji Symphony,0 - 1 year old
693 ,Under Construction,"19,047 ",1.32 Cr,"Thane West, Mumbai",2 BHK Apartment in Vijay Orovia Phase 1,Possession by Feb 2022
383 ,Under Construction,"19,371 ",74 L,"Thane West, Mumbai",1 BHK Apartment in Vijay Orovia Phase 1,Possession by Feb 2022
736 ,Under Construction,"19,565 ",1.44 Cr,"Thane West, Mumbai",3 BHK Apartment in Vijay Orovia Phase 1,Possession by Feb 2022
693 ,Under Construction,"19,047 ",1.32 Cr,"Thane West, Mumbai",2 BHK Apartment in Vijay Orovia Phase 1,Possession by Feb 2022
579 ,Under Construction,"20,034 ",1.16 Cr,"Thane West, Mumbai",2 BHK Apartment in Vijay Orovia Phase 1,Possession by Feb 2022
383 ,Under Construction,"19,371 ",74 L,"Thane West, Mumbai",1 BHK Apartment in Vijay Orovia Phase 1,Possession by Feb 2022
394 ,Under Construction,"20,737 ",81.5 L,"Thane West, Mumbai",1 BHK Apartment in Vijay Orovia Phase 1,Possession by Feb 2022
579 ,Under Construction,"20,034 ",1.16 Cr,"Thane West, Mumbai",2 BHK Apartment in Vijay Orovia Phase 1,Possession by Feb 2022
394 ,Under Construction,"20,737 ",81.5 L,"Thane West, Mumbai",1 BHK Apartment in Vijay Orovia Phase 1,Possession by Feb 2022
619 ,Under Construction,"20,468 ",1.26 Cr,"Thane West, Mumbai",2 BHK Apartment in Vijay Orovia Phase 1,Possession by Feb 2022
619 ,Under Construction,"20,468 ",1.26 Cr,"Thane West, Mumbai",2 BHK Apartment in Vijay Orovia Phase 1,Possession by Feb 2022
497 ,Under Construction,"19,606 ",97.25 L,"Thane West, Mumbai",2 BHK Apartment in Vijay Orovia Phase 1,Possession by Feb 2022
497 ,Under Construction,"19,606 ",97.25 L,"Thane West, Mumbai",2 BHK Apartment in Vijay Orovia Phase 1,Possession by Feb 2022
380 ,Under Construction,"8,684 ",33 L,"Taloja, Mumbai",1 BHK Apartment in Lodha Codename Golden Dream,Possession by Jul 2022
1863 ,Under Construction,"9,290 ",1.72 Cr,"Panvel, Mumbai",4 BHK Apartment in Indiabulls Park,Possession by Nov 2024
2602 ,Under Construction,"15,094 ",3.92 Cr,"Panvel, Mumbai",6 BHK Apartment in Indiabulls Park,Possession by Nov 2024
928 ,Under Construction,"9,913 ",91.99 L,"Panvel, Mumbai",2 BHK Apartment in Indiabulls Park,Possession by Nov 2024
1070 ,Under Construction,"9,719 ",1.04 Cr,"Panvel, Mumbai",3 BHK Apartment in Indiabulls Park,Possession by Nov 2024
 , , ,  ,,,
767 ,Under Construction,"10,274 ",78.7 L,"Panvel, Mumbai",2 BHK Apartment in Indiabulls Park,Possession by Nov 2024
557 ,Under Construction,"10,771 ",59.99 L,"Panvel, Mumbai",1 BHK Apartment in Indiabulls Park,Possession by Nov 2024
1335 ,Under Construction,"9,670 ",1.29 Cr,"Panvel, Mumbai",3 BHK Apartment in Indiabulls Park,Possession by Nov 2024
1636 ,Under Construction,"9,352 ",1.53 Cr,"Panvel, Mumbai",4 BHK Apartment in Indiabulls Park,Possession by Nov 2024
1130 ,Under Construction,"9,505 ",1.07 Cr,"Panvel, Mumbai",2 BHK Apartment in Paradise Sai World City,Possession by Nov 2020
1540 ,Under Construction,"9,271 ",1.42 Cr,"Panvel, Mumbai",2 BHK Apartment in Paradise Sai World City,Possession by Nov 2020
639 ,Under Construction,"18,055 ",1.15 Cr,"Thane West, Mumbai",2 BHK Apartment in Piramal Vaikunth Cluster 2,Possession by Nov 2023
871 ,Under Construction,"17,566 ",1.52 Cr,"Thane West, Mumbai",3 BHK Apartment in Piramal Vaikunth Cluster 2,Possession by Nov 2023
756 ,Under Construction,"7,142 ",54 L,"Naigaon East, Mumbai",3 BHK Apartment in Sunteck MaxxWorld 1 Tivri Naigaon East,Possession by Jun 2024
517 ,Under Construction,"3,800 ",19.65 L,"Sarswati Nagar, Mumbai",1 BHK Apartment,1 Bathrooms
517 ,Under Construction,"3,800 ",19.65 L,"Sarswati Nagar, Mumbai",1 BHK Apartment,1 Bathrooms
517 ,Under Construction,"3,800 ",19.65 L,"Sarswati Nagar, Mumbai",1 BHK Apartment,1 Bathrooms
375 ,Under Construction,"18,933 ",71 L,"Mulund West, Mumbai",1 BHK Apartment in Shree Akshay Shree Krushna Tower,Possession by Nov 2023
585 ,Under Construction,"17,948 ",1.05 Cr,"Mulund West, Mumbai",2 BHK Apartment in Shree Akshay Shree Krushna Tower,Possession by Nov 2023
760 ,Ready to move,"17,105 ",1.3 Cr,"Borivali West, Mumbai",2 BHK Apartment,2 Bathrooms
413 ,Under Construction,"9,075 ",37.48 L,"Taloja, Mumbai",1 BHK Apartment in Kamdhenu Lifespaces Gardenia,Possession by Nov 2020
481 ,Under Construction,"9,077 ",43.66 L,"Taloja, Mumbai",1 BHK Apartment in Kamdhenu Lifespaces Gardenia,Possession by Nov 2020
530 ,Under Construction,"9,280 ",49.18 L,"Taloja, Mumbai",2 BHK Apartment in Kamdhenu Lifespaces Gardenia,Possession by Nov 2020
484 ,Under Construction,"30,434 ",1.47 Cr,"Kharghar, Mumbai",2 BHK Apartment in Bhagwati Bhagwati Greens 2,Possession by Jun 2022
763 ,Under Construction,"26,081 ",1.99 Cr,"Kharghar, Mumbai",3 BHK Apartment in Bhagwati Bhagwati Greens 2,Possession by Jun 2022
 , , ,  ,,,
636 ,Under Construction,"9,554 ",60.76 L,"Dombivali, Mumbai",2 BHK Apartment in Regency Anantam Phase II,Possession by Jul 2021
640 ,Under Construction,"9,558 ",61.17 L,"Dombivali, Mumbai",2 BHK Apartment in Regency Anantam Phase II,Possession by Jul 2021
431 ,Under Construction,"9,535 ",41 L,"Dombivali, Mumbai",1 BHK Apartment in Regency Anantam Phase II,Possession by Jul 2021
2350 ,Under Construction,"8,750 ",2.05 Cr,"Kharghar, Mumbai",3 BHK Apartment in Paradise Sai Aaradhya,Possession by Nov 2023
1670 ,Under Construction,"8,750 ",1.46 Cr,"Kharghar, Mumbai",3 BHK Apartment in Paradise Sai Aaradhya,Possession by Nov 2023
1850 ,Under Construction,"8,750 ",1.61 Cr,"Kharghar, Mumbai",3 BHK Apartment in Paradise Sai Aaradhya,Possession by Nov 2023
1483 ,Under Construction,"12,811 ",1.9 Cr,"Panvel, Mumbai",3 BHK Apartment in Hiranandani Fortune City,Possession by Feb 2022
392 ,Under Construction,"18,877 ",73.99 L,"Panvel, Mumbai",1 BHK Apartment in Hiranandani Fortune City,Possession by Feb 2022
526 ,Under Construction,"21,673 ",1.13 Cr,"Panvel, Mumbai",1 BHK Apartment in Hiranandani Fortune City,Possession by Feb 2022
521 ,Ready to move,"3,798 ",19.79 L,"Neral, Mumbai",1 BHK Apartment,1 Bathrooms
370 ,Ready to move,"3,378 ",12.5 L,"Neral, Mumbai",1 BHK Apartment,1 Bathrooms
521 ,Ready to move,"3,798 ",19.79 L,"Neral, Mumbai",1 BHK Apartment,1 Bathrooms
522 ,Ready to move,"3,791 ",19.79 L,"Neral, Mumbai",1 BHK Apartment,1 Bathrooms
521 ,Ready to move,"3,798 ",19.79 L,"Neral, Mumbai",1 BHK Apartment,1 Bathrooms
331 ,Ready to move,"3,776 ",12.5 L,"Neral, Mumbai",1 RK Studio Apartment,1 Bathrooms
553 ,Ready to move,"3,779 ",20.9 L,"Neral, Mumbai",1 BHK Apartment,1 Bathrooms
521 ,Ready to move,"3,798 ",19.79 L,"Neral, Mumbai",1 BHK Apartment,1 Bathrooms
521 ,Ready to move,"3,798 ",19.79 L,"Neral, Mumbai",1 BHK Apartment,1 Bathrooms
395 ,Ready to move,"6,139 ",24.25 L,"Nalasopara West, Mumbai",1 BHK Apartment,1 Bathrooms
1082 ,Ready to move,"7,855 ",85 L,"Kalamboli, Mumbai",2 BHK Apartment in Neelsidhi Amarante,4 - 5 years old
 , , ,  ,,,
685 ,Ready to move,"8,467 ",58 L,"Kalamboli, Mumbai",1 BHK Apartment in Mahaavir Heights,3 - 4 years old
1078 ,Ready to move,"7,142 ",77 L,"Kalamboli, Mumbai",2 BHK Apartment in Shree Shagun Shagun Residency,6 - 7 years old
1775 ,Ready to move,"7,323 ",1.3 Cr,"Kalamboli, Mumbai",3 BHK Apartment in Juhi Bhumika Residency,7 - 8 years old
1175 ,Ready to move,"7,659 ",90 L,"Kalamboli, Mumbai",2 BHK Apartment in Reputed The Spring 2,0 - 1 year old
676 ,Ready to move,"7,988 ",54 L,"Kalamboli, Mumbai",1 BHK Apartment in Shree Shagun Shagun Residency,6 - 7 years old
507 ,Under Construction,"5,777 ",29.28 L,"Taloja, Mumbai",1 BHK Apartment in Ashtvinayak Sarvam,Possession by Nov 2025
438 ,Under Construction,"17,123 ",75 L,"Thane West, Mumbai",1 BHK Apartment in Piramal Vaikunth Thane,Possession by Jun 2025
467 ,Under Construction,"17,773 ",82.99 L,"Thane West, Mumbai",2 BHK Apartment in Piramal Vaikunth Thane,Possession by Jun 2025
305 ,Under Construction,"9,180 ",28 L,"Taloja, Mumbai",1 BHK Apartment in Lodha Codename Golden Dream,Possession by Jul 2022
297 ,Under Construction,"9,090 ",27 L,"Taloja, Mumbai",1 BHK Apartment in Lodha Codename Golden Dream,Possession by Jul 2022
624 ,Ready to move,"9,294 ",58 L,"kasaradavali thane west, Mumbai",1 BHK Apartment,0 - 1 year old
826 ,Ready to move,"7,506 ",62 L,"kasaradavali thane west, Mumbai",2 BHK Apartment,0 - 1 year old
590 ,Ready to move,"9,152 ",54 L,"kasaradavali thane west, Mumbai",1 BHK Apartment,0 - 1 year old
580 ,Ready to move,"11,206 ",65 L,"kasaradavali thane west, Mumbai",1 BHK Apartment,0 - 1 year old
650 ,Ready to move,"8,461 ",55 L,"kasaradavali thane west, Mumbai",1 BHK Apartment,0 - 1 year old
630 ,Ready to move,"8,730 ",55 L,"kasaradavali thane west, Mumbai",1 BHK Apartment,0 - 1 year old
650 ,Ready to move,"11,538 ",75 L,"Dahisar West, Mumbai",1 BHK Apartment in Reputed Mallikarjun CHSL,0 - 1 year old
590 ,Ready to move,"3,898 ",23 L,"Nala Sopara, Mumbai",1 BHK Apartment in Sai Crystal Orange Heights,5 - 6 years old
490 ,Under Construction,"9,183 ",45 L,"Dombivali, Mumbai",1 BHK Apartment,New 
1085 ,Ready to move,"7,834 ",85 L,"Kalamboli, Mumbai",2 BHK Apartment,7 - 8 years old
 , , ,  ,,,
680 ,Ready to move,"7,352 ",50 L,"Kalamboli, Mumbai",1 BHK Apartment in Platinum Silver Classic,1 Bathrooms
582 ,Under Construction,"4,295 ",25 L,"Nala Sopara, Mumbai",1 BHK Apartment in Dudhwala Ayan Residency Phase 1,Possession by Nov 2023
921 ,Ready to move,"9,771 ",90 L,"kasaradavali thane west, Mumbai",2 BHK Apartment,0 - 1 year old
353 ,Under Construction,"8,498 ",30 L,"Dombivali, Mumbai",1 BHK Apartment,New 
635 ,Ready to move,"4,960 ",31.5 L,"Naigaon East, Mumbai",1 BHK Apartment in Ornate Galaxy Phase I,0 - 1 year old
480 ,Ready to move,"3,020 ",14.5 L,"Nala Sopara, Mumbai",1 RK Studio Apartment in Sai Crystal Orange Heights,5 - 6 years old
600 ,Under Construction,"4,500 ",27 L,"Vasai, Mumbai",1 BHK Apartment in JSB Nakshatra Pride II,Possession by Aug 2022
620 ,Under Construction,"4,435 ",27.5 L,"Vasai, Mumbai",1 BHK Apartment in JSB Nakshatra Pride II,Possession by Aug 2022
860 ,Under Construction,"4,651 ",40 L,"Vasai, Mumbai",2 BHK Apartment in JSB Nakshatra Pride II,Possession by Aug 2022
590 ,Under Construction,"9,135 ",53.9 L,"kasaradavali thane west, Mumbai",1 BHK Apartment,1 Bathrooms
350 ,Under Construction,"4,000 ",14 L,"Nala Sopara, Mumbai",1 RK Studio Apartment in Dudhwala Ayan Residency Phase 1,Possession by Nov 2023
330 ,Under Construction,"4,242 ",14 L,"Nala Sopara, Mumbai",1 RK Studio Apartment in Dudhwala Ayan Residency Phase 1,Possession by Nov 2023
582 ,Under Construction,"4,123 ",24 L,"Nala Sopara, Mumbai",1 BHK Apartment in Dudhwala Ayan Residency Phase 1,Possession by Nov 2023
575 ,Ready to move,"4,260 ",24.5 L,"Nala Sopara, Mumbai",1 BHK Apartment in DGS Sheetal Deep,1 - 2 years old
1175 ,Ready to move,"7,319 ",86 L,"Kalamboli, Mumbai",2 BHK Apartment in Reputed The Springs,2 Bathrooms
860 ,Under Construction,"5,058 ",43.5 L,"Naigaon East, Mumbai",2 BHK Apartment in Sunteck MaxxWorld 1 Tivri Naigaon East,Possession by Jun 2024
500 ,Ready to move,"4,700 ",23.5 L,"Naigaon East, Mumbai",1 BHK Apartment in Unicorn Arena,4 - 5 years old
620 ,Under Construction,"4,677 ",29 L,"Vasai, Mumbai",1 BHK Apartment in JSB Nakshatra Pride II,Possession by Aug 2022
860 ,Under Construction,"5,058 ",43.5 L,"Naigaon East, Mumbai",2 BHK Apartment in Sunteck MaxxWorld 1 Tivri Naigaon East,Possession by Jun 2024
950 ,Under Construction,"5,684 ",54 L,"Naigaon East, Mumbai",3 BHK Apartment in Sunteck MaxxWorld 1 Tivri Naigaon East,Possession by Jun 2024
 , , ,  ,,,
252 ,Ready to move,"8,964 ",22.5 L,"Naigaon East, Mumbai",1 BHK Apartment in JSB Nakshatra Ozone,0 - 1 year old
540 ,Ready to move,"5,000 ",27 L,"Naigaon East, Mumbai",1 BHK Apartment in JSB Nakshatra Greens 6A 6B 6C And 6E,0 - 1 year old
670 ,Ready to move,"4,701 ",31.5 L,"Virar, Mumbai",1 BHK Apartment in Shubh Shwet Kini Tower,0 - 1 year old
385 ,Under Construction,"11,688 ",45 L,"Mira Road East, Mumbai",1 BHK Apartment,2 Bathrooms
890 ,Ready to move,"9,202 ",81.9 L,"Thane West, Mumbai",2 BHK Apartment in Lodha Codename Crown Jewel,2 Bathrooms
590 ,Ready to move,"12,711 ",75 L,"Dahisar West, Mumbai",1 BHK Apartment in Reputed Rukmini Niwas,0 - 1 year old
480 ,Under Construction,"3,437 ",16.5 L,"Nala Sopara, Mumbai",1 RK Studio Apartment in Topaz Heights,Possession by Nov 2020
580 ,Ready to move,"4,827 ",28 L,"Naigaon East, Mumbai",1 BHK Apartment in KM Narmada Mohan Apartment,1 - 2 years old
580 ,Ready to move,"3,620 ",21 L,"Nala Sopara, Mumbai",1 BHK Apartment in Dudhwala Ayan Residency Phase 1,1 Bathrooms
580 ,Ready to move,"3,620 ",21 L,"Nala Sopara, Mumbai",1 BHK Apartment in Dudhwala Ayan Residency Phase 1,1 Bathrooms
585 ,Ready to move,"4,102 ",24 L,"Nala Sopara, Mumbai",1 BHK Apartment in SB Sandeep Heights,2 - 3 years old
600 ,Ready to move,"2,916 ",17.5 L,"Nala Sopara, Mumbai",1 BHK Apartment in Govinda Park,1 - 2 years old
590 ,Ready to move,"3,813 ",22.5 L,"Nala Sopara, Mumbai",1 BHK Apartment in Sai Crystal Orange Heights,5 - 6 years old
550 ,Ready to move,"4,545 ",25 L,"Nala Sopara, Mumbai",1 BHK Apartment in Saurabh Crystal Pallazo,1 - 2 years old
570 ,Under Construction,"3,421 ",19.5 L,"Nala Sopara, Mumbai",1 BHK Apartment in Royal Plaza,Possession by Nov 2020
590 ,Ready to move,"4,237 ",25 L,"Nala Sopara, Mumbai",1 BHK Apartment in Sai Crystal Orange Heights,5 - 6 years old
580 ,Ready to move,"4,482 ",26 L,"Nala Sopara, Mumbai",1 BHK Apartment in Sai Dhara Enterprises Abhuday Complex,6 - 7 years old
575 ,Ready to move,"3,478 ",20 L,"Nala Sopara, Mumbai",1 BHK Apartment in Nine Sundaram Plaza,4 - 5 years old
575 ,Ready to move,"4,000 ",23 L,"Nala Sopara, Mumbai",1 BHK Apartment in Nine Sundaram Plaza,4 - 5 years old
455 ,Under Construction,"3,516 ",16 L,"Nala Sopara, Mumbai",1 RK Studio Apartment in Topaz Heights,Possession by Nov 2020
 , , ,  ,,,
751 ,Under Construction,"7,590 ",57 L,"Naigaon East, Mumbai",3 BHK Apartment in Sunteck Maxx World,Possession by May 2024
407 ,Under Construction,"7,881 ",32 L,"Naigaon East, Mumbai",1 BHK Apartment in Sunteck Maxx World,Possession by May 2024
865 ,Ready to move,"4,508 ",39 L,"Naigaon East, Mumbai",2 BHK Apartment in Sai Swapn Bhamini Sankul,2 - 3 years old
560 ,Ready to move,"4,464 ",25 L,"Naigaon East, Mumbai",1 BHK Apartment in Sai Swapn Bhamini Sankul,2 - 3 years old
750 ,Ready to move,"16,800 ",1.26 Cr,"Bhandup West, Mumbai",1 BHK Apartment,2 Bathrooms
581 ,Under Construction,"10,741 ",62.41 L,"Panvel, Mumbai",2 BHK Apartment in Marathon Nexzone,Possession by Nov 2020
630 ,Under Construction,"23,015 ",1.45 Cr,"Bhandup West, Mumbai",2 BHK Apartment in Srishti Group Pride Phase 1,Possession by Nov 2022
745 ,Under Construction,"11,703 ",87.19 L,"Panvel, Mumbai",2 BHK Apartment in Marathon Nexzone,Possession by Nov 2020
472 ,Under Construction,"8,262 ",39 L,"Naigaon East, Mumbai",2 BHK Apartment in JSB Nakshatra Pride I,Possession by Aug 2022
302 ,Under Construction,"9,468 ",28.5 L,"Naigaon East, Mumbai",1 BHK Apartment in JSB Nakshatra Pride I,Possession by Aug 2022
292 ,Under Construction,"9,246 ",27 L,"Naigaon East, Mumbai",1 BHK Apartment in JSB Nakshatra Pride I,Possession by Aug 2022
395 ,Ready to move,"6,139 ",24.25 L,"Nalasopara West, Mumbai",1 BHK Apartment,1 Bathrooms
500 ,Ready to move,"5,200 ",26 L,"Nalasopara West, Mumbai",1 BHK Apartment,1 Bathrooms
565 ,Ready to move,"3,716 ",21 L,"Nalasopara West, Mumbai",1 BHK Apartment,1 Bathrooms
550 ,Ready to move,"3,636 ",20 L,"Nala Sopara, Mumbai",1 BHK Apartment in Sai Dhara Enterprises Abhuday Complex,6 - 7 years old
555 ,Under Construction,"3,423 ",19 L,"Nala Sopara, Mumbai",1 BHK Apartment in Dreams Tower,1 Bathrooms
540 ,Ready to move,"4,444 ",24 L,"Naigaon East, Mumbai",1 BHK Apartment in Maad Maad Yashwant Pride II,3 - 4 years old
640 ,Ready to move,"4,140 ",26.5 L,"Virar, Mumbai",1 BHK Apartment in Mandar Cassa Bilss,0 - 1 year old
422 ,Under Construction,"17,298 ",73 L,"Thane West, Mumbai",1 BHK Apartment in Runwal Eirene,Possession by Nov 2020
422 ,Under Construction,"17,298 ",73 L,"Thane West, Mumbai",1 BHK Apartment in Runwal Eirene,Possession by Nov 2020
 , , ,  ,,,
580 ,Ready to move,"3,879 ",22.5 L,"Nala Sopara, Mumbai",1 BHK Apartment in Sai Om Sai Heights,4 - 5 years old
620 ,Ready to move,"3,548 ",22 L,"Nala Sopara, Mumbai",1 BHK Apartment in Shree Adeshwar Anand Heights,4 - 5 years old
585 ,Ready to move,"3,760 ",22 L,"Nala Sopara, Mumbai",1 BHK Apartment in Shree Arihant Anand View A Wing,1 - 2 years old
650 ,Ready to move,"6,153 ",40 L,"Kamothe, Mumbai",1 BHK Apartment in Reputed Sai Majestic,0 - 1 year old
610 ,Ready to move,"7,377 ",45 L,"kasaradavali thane west, Mumbai",1 BHK Apartment,0 - 1 year old
679 ,Under Construction,"7,277 ",49.41 L,"Dombivali, Mumbai",2 BHK Apartment in Runwal Gardens Phase I,Possession by May 2023
442 ,Under Construction,"10,518 ",46.38 L,"Dombivali, Mumbai",1 BHK Apartment in Runwal Gardens Phase I,Possession by May 2023
353 ,Under Construction,"9,090 ",32 L,"Dombivali, Mumbai",1 BHK Apartment in Runwal Gardens Phase I,Possession by May 2023
904 ,Under Construction,"9,708 ",87.66 L,"Dombivali, Mumbai",3 BHK Apartment in Runwal Gardens Phase I,Possession by May 2023
495 ,Under Construction,"10,496 ",51.95 L,"Dombivali, Mumbai",1 BHK Apartment in Runwal Gardens Phase I,Possession by May 2023
353 ,Under Construction,"10,511 ",36.99 L,"Dombivali, Mumbai",1 BHK Apartment in Runwal Gardens Phase I,Possession by May 2023
553 ,Ready to move,"3,779 ",20.9 L,"Neral, Mumbai",1 BHK Apartment,1 Bathrooms
520 ,Ready to move,"6,400 ",33.28 L,"Nala Sopara, Mumbai",1 BHK Apartment in Patil Gulmohar Heritage,1 Bathrooms
830 ,Ready to move,"3,614 ",30 L,"Nala Sopara, Mumbai",2 BHK Apartment in Reliable Reliable Complex,12 - 13 years old
655 ,Ready to move,"8,396 ",55 L,"kasaradavali thane west, Mumbai",1 BHK Apartment,0 - 1 year old
430 ,Under Construction,"3,760 ",16.17 L,"Karjat, Mumbai",1 BHK Apartment,1 Bathrooms
600 ,Under Construction,"4,958 ",29.75 L,"Naigaon East, Mumbai",1 BHK Apartment in Sunteck MaxxWorld 1 Tivri Naigaon East,Possession by Jun 2024
850 ,Under Construction,"4,676 ",39.75 L,"Naigaon East, Mumbai",2 BHK Apartment in Sunteck MaxxWorld 1 Tivri Naigaon East,Possession by Jun 2024
452 ,Under Construction,"10,176 ",46 L,"Panvel, Mumbai",1 BHK Apartment in Marathon Nexzone,Possession by Nov 2020
913 ,Under Construction,"13,143 ",1.2 Cr,"Panvel, Mumbai",2 BHK Apartment in Marathon Nexzone,Possession by Nov 2020
 , , ,  ,,,
449 ,Under Construction,"9,799 ",44 L,"Panvel, Mumbai",1 BHK Apartment in Marathon Nexzone,Possession by Nov 2020
903 ,Under Construction,"11,627 ",1.05 Cr,"Panvel, Mumbai",2 BHK Apartment in Marathon Nexzone,Possession by Nov 2020
1115 ,Ready to move,"5,269 ",58.75 L,"Virar, Mumbai",2 BHK Apartment in Shubh Shwet Kini Tower,0 - 1 year old
970 ,Ready to move,"5,695 ",55.25 L,"Virar, Mumbai",2 BHK Apartment in Agarwal Krishna Gardens,7 - 8 years old
535 ,Under Construction,"3,887 ",20.8 L,"Karjat, Mumbai",1 BHK Apartment,1 Bathrooms
535 ,Under Construction,"3,887 ",20.8 L,"Karjat, Mumbai",1 BHK Apartment,1 Bathrooms
610 ,Ready to move,"8,852 ",54 L,"kasaradavali thane west, Mumbai",1 BHK Apartment,0 - 1 year old
550 ,Ready to move,"11,454 ",63 L,"kasaradavali thane west, Mumbai",1 BHK Apartment,0 - 1 year old
610 ,Ready to move,"10,655 ",65 L,"kasaradavali thane west, Mumbai",1 BHK Apartment,0 - 1 year old
610 ,Ready to move,"8,852 ",54 L,"kasaradavali thane west, Mumbai",1 BHK Apartment,0 - 1 year old
1026 ,Ready to move,"9,941 ",1.02 Cr,"kasaradavali thane west, Mumbai",2 BHK Apartment,0 - 1 year old
670 ,Ready to move,"5,142 ",34.45 L,"Virar, Mumbai",1 BHK Apartment in Shubh Shwet Kini Tower,0 - 1 year old
805 ,Ready to move,"4,500 ",36.22 L,"Virar, Mumbai",1 BHK Apartment in Shubh Shwet Kini Tower,0 - 1 year old
565 ,Ready to move,"3,716 ",21 L,"Nala Sopara, Mumbai",1 BHK Apartment in Shree Manibhadra Heights,0 - 1 year old
575 ,Ready to move,"4,260 ",24.5 L,"Nala Sopara, Mumbai",1 BHK Apartment in DGS Sheetal Deep,1 - 2 years old
585 ,Ready to move,"3,760 ",22 L,"Nala Sopara, Mumbai",1 BHK Apartment in Shree Arihant Anand View A Wing,1 - 2 years old
